## Filter transmission curves for all possible WFC filters
## EE is encircled energy (%) at a given radius in pixels
## arcsec. EEERR is the std dev. 
## From M Sirianni
##
## K Anderson, 3-10-2003
##
## 2nd block of data has been removed
##
# 1	radius_pix
# 2	radius_asec
# 3	EE_F435W
# 4	EEERR_F435W
# 5	EE_F475W
# 6	EEERR_F475W
# 7	EE_F502N
# 8	EEERR_F502N
# 9	EE_F550M
# 10	EEERR_F550M
# 11	EE_F555W
# 12	EEERR_F555W
# 13	EE_F606W
# 14	EEERR_F606W
# 15	EE_F625W
# 16	EEERR_F625W
# 17	EE_F658N
# 18	EEERR_F658N
# 19	EE_F660N
# 20	EEERR_F660N
# 21	EE_F775W
# 22	EEERR_F775W
# 23	EE_F814W
# 24	EEERR_F814W
# 25	EE_F850LP
# 26	EEERR_F850LP
# 27	EE_F892N
# 28	EEERR_F892N
##
##                      F435W	      F475W	       F502N	       F550M 	       F555W	       F606W	      F625W	       F658N           F660N	      F775W	        F814W	      F850LP         F892N
##   pix   arcsec    ee      stdv   ee      stdv    ee      stdv     ee    stdv     ee     stdv      ee     stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv    ee      stdv     ee    stdv     ee      stdv
  53.000   2.650  98.976   0.101  99.759   0.231  99.256   0.218  99.792   0.039  99.005   0.213  99.256   0.128  98.791   0.023  99.038   0.149  99.306   0.146  98.660   0.151  98.593   0.126  98.374   0.137  98.073   0.112
  54.000   2.700  99.034   0.100  99.797   0.232  99.297   0.218  99.837   0.003  99.050   0.208  99.314   0.132  98.855   0.028  99.110   0.145  99.351   0.159  98.714   0.150  98.650   0.124  98.431   0.134  98.119   0.105
  55.000   2.750  99.085   0.104  99.843   0.237  99.326   0.214  99.893   0.029  99.104   0.205  99.361   0.133  98.918   0.038  99.177   0.146  99.407   0.165  98.777   0.142  98.716   0.123  98.490   0.124  98.169   0.102
  56.000   2.800  98.912   0.244  99.870   0.242  99.335   0.207  99.899   0.028  99.140   0.210  99.393   0.133  98.973   0.051  99.220   0.145  99.416   0.140  98.828   0.135  98.774   0.133  98.550   0.118  98.205   0.100
  57.000   2.850  99.170   0.106  99.907   0.251  99.366   0.206  99.888   0.034  99.170   0.209  99.420   0.133  99.027   0.058  99.409   0.069  99.444   0.124  98.982   0.076  98.833   0.141  98.611   0.120  98.262   0.097
  58.000   2.900  99.215   0.097  99.940   0.250  99.402   0.204  99.902   0.008  99.214   0.207  99.563   0.085  99.024   0.010  99.470   0.063  99.505   0.127  98.959   0.027  98.895   0.148  98.662   0.129  98.325   0.094
  59.000   2.950  99.256   0.099  99.954   0.243  99.416   0.207  99.928   0.035  99.251   0.204  99.579   0.082  99.076   0.003  99.503   0.071  99.562   0.127  99.001   0.029  98.967   0.145  98.716   0.130  98.390   0.099
  60.000   3.000  99.295   0.101  99.963   0.231  99.442   0.205  99.969   0.054  99.302   0.190  99.508   0.127  99.123   0.005  99.428   0.134  99.621   0.124  99.046   0.142  99.030   0.141  98.791   0.130  98.437   0.094
  61.000   3.050  99.126   0.216  99.982   0.222  99.308   0.095 100.022   0.065  99.343   0.179  99.537   0.124  99.219   0.044  99.475   0.138  99.677   0.130  99.088   0.150  99.065   0.146  98.840   0.136  98.478   0.095
  62.000   3.100  99.138   0.205  99.993   0.213  99.321   0.102 100.055   0.074  99.372   0.176  99.549   0.122  99.256   0.047  99.502   0.141  99.770   0.068  99.126   0.028  99.090   0.030  98.892   0.131  98.509   0.096
